NAME	StromalScore	ImmuneScore	ESTIMATEScore
SA10217P0	-531.3365054	-1016.313687	-1547.650192
SA10180P0	-142.5388042	-582.982305	-725.5211092
OV14654P3	-1825.33246	-1090.089834	-2915.422294
PA5313P4	-2593.112348	-854.3739089	-3447.486257
LY2345P3	-1852.181253	2503.327735	651.1464824
LU1902P11	-2947.70383	-1069.536123	-4017.239952
LI6610P7	-2661.800946	-1697.230545	-4359.031491
OV5391P0	-2442.388906	-1049.795994	-3492.1849
BR9466P8	-3044.174744	-1707.050232	-4751.224975
LI6687P3	-2449.030536	-1622.457952	-4071.488489
AL7442P1	-1998.222076	1962.719795	-35.50228088
LU0861P4	-2791.258419	-1067.562608	-3858.821027
ME5279P1	-2354.812594	-1115.837526	-3470.65012
ES0026P5	-2828.789538	-1498.964589	-4327.754127
BN9222P5	-386.9026891	-1467.931656	-1854.834346
PA3013P3	-2943.611441	-578.8829715	-3522.494413
GS11329P0	-1116.481845	-400.6836648	-1517.16551
SA13127P0	-1383.219062	-1464.124183	-2847.343245
XX2636P1	-3318.402712	-1252.190438	-4570.59315
CR3566P4	-3032.707032	-1273.099943	-4305.806975
PA2450P5	-2970.416651	-455.1338147	-3425.550466
ME12178P0	-2148.40267	-1484.666932	-3633.069602
GA2315P1	-2813.065842	-1315.037084	-4128.102926
PA5366P1	-2896.616771	-547.5623368	-3444.179108
PA1290P3	-3068.638755	-940.760461	-4009.399216
OV3414P4	-2730.607955	-1731.006492	-4461.614447
LI6306P7	-2127.287601	-598.1548272	-2725.442428
CR3107P5	-3117.996319	-1045.037572	-4163.033891
LU11645P0	-2477.284944	-726.7662265	-3204.051171
KI11444P1	-1617.64874	-660.6363553	-2278.285095
PA1413P6	-2742.971401	-702.6223104	-3445.593711
HN3588P6	-2172.356643	-663.5032633	-2835.859906
CR2506P3	-2947.181394	-934.1603041	-3881.341698
CR5052P1	-2839.765316	-1066.820132	-3906.585448
BN2287P23	-2548.395158	-1783.512953	-4331.908111
CR11486P1	-3133.035861	-1175.634997	-4308.670858
BR9230P7	-2346.825681	-846.2219265	-3193.047608
LI0752P4	-2184.053682	-1999.127065	-4183.180747
LU5256P2	-2964.180825	-2123.479826	-5087.66065
KI16031P1	-2459.17547	-903.5312056	-3362.706675
PA13040P0	-2882.901971	-635.2427998	-3518.144771
ES0042P6	-1989.404391	-787.6277686	-2777.032159
ES9291P4	-3117.647941	-1125.445655	-4243.093596
LU5159P3	-3017.925918	-1138.175441	-4156.101359
LU11612P1	-2722.855141	-1097.258315	-3820.113456
PA5404P1	-2755.919489	-1018.51311	-3774.4326
HN0607P8	-2543.118447	-117.6655962	-2660.784043
CR9268P6	-3061.327809	-1221.994002	-4283.32181
CR14931P0	-2859.706696	-1155.559592	-4015.266288
CR5095P1	-3099.193637	-1121.016839	-4220.210476
ES0136P3	-2840.869047	-1547.151966	-4388.021013
SA13354P0	-878.3502263	-432.6308739	-1310.9811
GA3236P5	-2812.971282	-1814.705938	-4627.67722
LY6938P7	-2372.401727	1656.750719	-715.6510081
ES0147P2	-2698.307922	-1079.364758	-3777.67268
PA13031P0	-2448.828963	-605.0021069	-3053.83107
LU11670P1	-2812.856764	-2083.751088	-4896.607852
GA6831P6	-3008.212001	-981.0211726	-3989.233173
ME14011P1	-2600.762829	-1302.657401	-3903.420229
MU12624P0	-2217.865568	-1570.73449	-3788.600058
PA3065P6	-3051.764431	-1170.938555	-4222.702986
GA2117P5	-2795.988102	-1089.555096	-3885.543198
ME12107P2	-2223.01266	-1505.734251	-3728.746911
GA0019P2	-2858.777007	-997.9215104	-3856.698518
ME12103P0	-1772.124102	-877.0950628	-2649.219165
PA3010P6	-2936.313711	-722.6088017	-3658.922512
ME13974P1	-1784.651312	-1229.8604	-3014.511712
LU2051P7	-3070.032667	-1921.097451	-4991.130118
CR6852P10	-3136.330627	-1160.829725	-4297.160352
ME5285P1	-2540.471553	-1328.73043	-3869.201983
LU5224P6	-2065.455718	-1212.973466	-3278.429183
GA6881P7	-2904.155655	-1343.439685	-4247.595339
LI2644P6	-3123.22412	-1301.654435	-4424.878555
GA6877P6	-3090.762868	-1155.957704	-4246.720571
LU9358P5	-2833.870427	-830.0217379	-3663.892165
ES11091P0	-3079.1119	-1003.04126	-4082.153161
UT3618P0	-1548.000636	3051.050026	1503.049391
CV3636P2	-2884.992856	-869.4927391	-3754.485595
BN13331P0	-425.333231	-1275.19194	-1700.525171
LU13944P0	-2853.363828	-506.7053026	-3360.06913
BL2393P5	-1374.646129	-1182.347046	-2556.993175
ME12117P1	-2418.144209	-1688.424859	-4106.569067
CR2536P9	-3002.327663	-953.5384097	-3955.866073
PA1333P7	-2893.996258	-492.2184918	-3386.214749
LI2813P6	-2984.117723	-1377.541202	-4361.658925
ME12067P0	-1598.698076	-751.0295025	-2349.727579
ME11979P0	-2029.124274	-1510.336962	-3539.461236
CC6279P6	-2946.673418	-1063.390109	-4010.063526
GA2278P2	-3065.54404	-1099.115573	-4164.659613
CR11377P2	-2879.309197	-1157.634625	-4036.943821
CR1281P1	-2843.596837	-1098.645552	-3942.242388
PA5363P1	-3027.019733	-754.4029489	-3781.422682
LU6479P12	-2592.291631	-1078.774869	-3671.0665
CR5032P1	-3035.473249	-1369.711063	-4405.184312
ME12125P0	-2366.149608	-1365.829475	-3731.979083
ES0110P6	-2304.989416	-1011.964501	-3316.953917
HN2609P3	-2445.801923	-1042.408553	-3488.210476
CR0010P5	-3038.557067	-1050.367591	-4088.924658
CR3235P4	-3006.319429	-956.9663782	-3963.285807
BR9480P3	-2503.57561	-1761.173342	-4264.748952
CR5075P1	-3050.404705	-1250.001226	-4300.405931
LU5189P1	-2139.536635	-900.4592353	-3039.995871
CR5098P0	-3111.631735	-1062.806165	-4174.4379
ME12160P1	-2039.649883	-1271.587925	-3311.237809
HN2591P3	-1549.537409	2577.556345	1028.018936
MU12575P0	-1272.036841	-1659.123802	-2931.160643
BL3578P0	-2441.423257	-625.4645078	-3066.887764
BR5013P1	-2141.000423	-1602.06714	-3743.067563
PA0787P3	-3086.282374	-816.1715834	-3902.453957
LU6425P2	-3023.099747	-908.5262339	-3931.62598
PA0372P4	-2732.458443	-983.6670722	-3716.125515
LU0357P6	-2705.358824	-954.1738699	-3659.532694
ES3894P5	-2707.477993	-975.0789468	-3682.55694
BR9234P4	-2167.425431	-1018.332764	-3185.758196
PR6512P4	-3009.035306	-1893.362968	-4902.398274
CR5076P1	-2802.042139	-1772.934964	-4574.977103
CR5039P1	-3105.085366	-1093.631449	-4198.716816
BL9213P4	-2716.720764	-1766.9711	-4483.691864
LU9356P6	-2741.858358	-1044.858649	-3786.717007
BL3249P4	-2536.674403	-1141.506695	-3678.181099
LU1206P6	-2934.993357	-620.0886467	-3555.082003
SA13455P0	-1346.02342	-1812.983337	-3159.006757
BL2350P4	-3019.203519	-1128.257309	-4147.460828
MU12687P0	-1994.24367	-1241.119484	-3235.363154
ME12101P0	-2362.120531	-1426.730466	-3788.850996
SA13340P0	321.9840186	-1315.226487	-993.2424684
LI1054P5	-2578.764963	-940.6726705	-3519.437634
CR1574P5	-2828.267687	-1007.118648	-3835.386335
LU0395P5	-2626.111171	-418.1364877	-3044.247658
CR6803P10	-2987.966361	-1146.680303	-4134.646664
BR5492P0	-2746.964553	-1274.714846	-4021.679399
CC6614P4	-2815.908697	-1017.064704	-3832.9734
BR5400P1	-3037.927375	-1384.720577	-4422.647952
BN2287P3	-2324.190307	-1495.765021	-3819.955328
ME14010P1	-2315.268746	-1379.969532	-3695.238279
ME9384P3	-2214.585562	-1118.815539	-3333.4011
AL7443P3	-1536.981235	1950.074939	413.0937047
LU6905P7	-2899.342702	-815.3529856	-3714.695688
LI6677P6	-2588.909011	-1264.423495	-3853.332506
SA10153P0	-1810.936704	-2059.53891	-3870.475614
CR2524P4	-2957.062998	-1092.028954	-4049.091952
CR2828P7	-3094.216289	-1393.008573	-4487.224862
CR9499P5	-2968.654003	-1064.829495	-4033.483498
LU5196P1	-2693.831533	-2187.028347	-4880.859881
BR10550P0	-2848.937758	-1634.081718	-4483.019476
HN9298P5	-2909.697017	-724.7653377	-3634.462355
LU11553P0	-3032.496029	-2149.236293	-5181.732322
LI1097P5	-2350.210607	-1597.268414	-3947.479021
CR6309P3	-2950.512459	-1255.698502	-4206.210961
