NAME	StromalScore	ImmuneScore	ESTIMATEScore
PA3126P2	1572.484399	2187.987669	3760.472069
ES0147P2	1464.743124	2504.49052	3969.233645
AL5551P1	-654.5221534	2140.257055	1485.734902
ES0184P7	2037.526056	2285.365614	4322.89167
LU5219P2	1867.626946	1993.126119	3860.753065
LU6914P7	1727.864679	1655.311006	3383.175685
OV5298P4	1880.679748	1740.188824	3620.868573
ME9366P3	1326.010735	1391.627576	2717.638311
MC3685P4	1569.653907	1408.082198	2977.736105
PA3108P5	1811.286745	2211.594727	4022.881472
LU6442P1	1680.960857	1390.497455	3071.458311
CR2226P4	1661.769873	2108.273091	3770.042964
GA0055P5	1400.398224	1447.775575	2848.173799
ME12166P4	1565.227424	1952.754526	3517.98195
LU9357P2	1485.769597	1548.778702	3034.548299
LU5174P1	1843.457456	2349.277257	4192.734713
CR2060P7	1758.322103	1892.968345	3651.290448
LU6424P6	1829.710355	1927.595059	3757.305415
ME12216P1	1352.944503	1795.947091	3148.891594
LU6903P6	1469.202378	2904.889925	4374.092303
LU6441P3	1573.612597	2726.449426	4300.062023
AL7475P0	21.44637732	1563.010016	1584.456394
PA2078P8	1825.17539	1808.193114	3633.368504
CR3278P3	1728.814918	3042.063865	4770.878783
CR5388P0	1669.855791	2069.008124	3738.863915
LY1487P2	1595.810627	2158.14402	3753.954647
ME12208P2	1493.686663	1479.156351	2972.843014
ME12147P0	1707.467832	2215.93766	3923.405492
MC1392P5	1637.171999	1968.554333	3605.726333
OV5296P5	1634.873423	1911.715985	3546.589408
MU12729P0	605.7323601	2046.569443	2652.301803
SA3296P3	1593.436588	1998.75168	3592.188268
LU9358P5	1663.59266	1713.67728	3377.269939
LI6294P9	1762.751605	2292.675452	4055.427057
GA2419P5	1647.105701	1609.429326	3256.535027
CR6449P10	1670.89172	1873.034719	3543.926439
AL7267P2	-117.1624267	1372.160879	1254.998452
CR5089P2	1659.894764	1948.544966	3608.439731
PA2031P7	1644.127559	2117.41545	3761.54301
ME5284P1	1587.051622	2151.205632	3738.257254
AL5511P1	-904.1687632	2358.360126	1454.191363
LU5181P1	1730.12294	1610.410469	3340.533409
LI6646P8	1625.618515	2428.161218	4053.779733
LU13944P0	1697.684084	2286.579313	3984.263397
CR2244P5	1649.559793	1931.633159	3581.192952
LU1204P5	1551.503389	2005.602465	3557.105854
BR5010P2	1396.152163	2032.306731	3428.458894
OV3756P4	1931.432454	1955.065597	3886.498052
HN3635P7	831.6886565	1948.812353	2780.50101
SA3224P6	1461.993917	2041.561519	3503.555436
OV2034P9	1294.754825	2406.064172	3700.818998
LU2505P4	1026.037023	2731.494144	3757.531167
CR3814P4	1858.11806	2180.963597	4039.081657
CR14838P1	1692.757094	1672.610913	3365.368007
LU5350P0	1838.268362	1777.789875	3616.058237
LI6665P5	1711.726906	2304.83301	4016.559917
CR0205P5	1789.317855	1687.44679	3476.764645
LI6683P5	1544.990407	2120.738354	3665.728762
CR2258P2	1774.088968	2044.106843	3818.195811
SA13412P0	957.9099422	1525.183782	2483.093724
LU9356P6	1488.650245	1989.825592	3478.475838
OV15631P0	1612.687788	1997.997742	3610.685531
ES11065P1	1700.073704	1623.56937	3323.643074
CR6852P10	1637.159753	1612.888539	3250.048292
GA2278P2	1841.533889	1737.165205	3578.699093
PA6258P7	1727.771289	1730.889266	3458.660555
UT5325P1	1715.901024	1277.381972	2993.282996
PA2410P6	1525.737915	1477.60208	3003.339995
ME12142P1	1454.314828	1862.831798	3317.146626
HN1972P4	1652.050952	3271.069441	4923.120393
PA6231P3	1798.527198	2440.046488	4238.573686
SA13226P3	1507.62451	2526.034926	4033.659436
ME12094P0	946.5454652	2021.047832	2967.593297
CV3666P5	1895.599573	2207.123549	4102.723122
CR5065P0	1531.361881	1523.160487	3054.522367
CR15766P2	1766.15733	1946.943001	3713.100331
ME12065P1	720.587475	522.988606	1243.576081
ES0168P6	1648.520402	2152.467955	3800.988358
ME11983P0	1343.440326	2001.86794	3345.308266
LU3057P5	1815.950031	2214.73941	4030.689441
ES3862P4	1432.13533	1436.654515	2868.789845
CR2084P4	1642.014811	2122.384778	3764.399589
PA13941P0	1656.579302	2106.429192	3763.008494
ME12003P1	1835.061474	1851.21272	3686.274195
GA13766P0	1734.655354	1804.211281	3538.866635
OV5302P1	1733.243735	2236.906073	3970.149809
LI6664P5	1677.832364	3021.170329	4699.002693
