NAME	StromalScore	ImmuneScore	ESTIMATEScore
ES0168P6	-1037.625794	-339.5813	-1377.207094
CR9268P6	-1248.000656	-479.2232992	-1727.223955
BN2287P3	-713.8877459	-560.8680295	-1274.755775
CR3078P5	-80.16663159	439.9141647	359.7475331
PR6513P2	-776.3664664	-727.0601158	-1503.426582
SA13284P0	231.2356708	-845.0537334	-613.8180626
SA0319P5	-182.5421341	-1343.889361	-1526.431495
ME13990P2	-279.0018097	-2.873395939	-281.8752056
HN1972P4	-244.7126966	1034.905284	790.1925874
SA13404P0	-34.93762151	-168.7955683	-203.7331898
CR6218P3	-898.2398246	280.3863697	-617.853455
GA3158P4	-602.142052	-239.0903744	-841.2324264
CR6629P3	462.7969719	513.26072	976.0576919
ME13993P1	-437.2317735	145.6218016	-291.6099718
ES3863P2	-1292.653198	-172.015457	-1464.668655
BR10607P0	-1675.98271	-869.9328376	-2545.915547
LI6293P6	-1180.781592	-365.3363269	-1546.117919
CR2084P4	-342.0411562	349.0279598	6.986803614
ME12044P1	-1237.47593	-670.1820475	-1907.657978
PA5131P2	-189.5180917	258.7926467	69.27455494
CR5077P1	-340.9226652	-102.9662765	-443.8889416
SA16052P1	797.1228161	935.7090406	1732.831857
OV13950P0	-1549.160769	-220.5538109	-1769.71458
ME12217P0	-1121.959887	70.78161594	-1051.178272
LU5185P9	-214.9436781	214.6626298	-0.281048308
KI10110P0	-1089.385329	-965.0528012	-2054.438131
ME12095P0	227.0904782	127.0223556	354.1128338
CR5047P1	-1233.113985	176.2827713	-1056.831213
GA6211P4	-807.3348608	-253.0846302	-1060.419491
CR6257P5	-1349.709515	-444.8349815	-1794.544496
ME12138P1	-1010.284654	-510.0166448	-1520.301299
CR3278P3	-192.5414923	992.2270567	799.6855644
OV5387P1	-737.6382518	-374.5562721	-1112.194524
AD0344P5	-847.2215524	-356.0406846	-1203.262237
CC11307P0	-428.0011734	-246.5304885	-674.531662
LU1206P6	-1652.199925	-259.2994382	-1911.499363
CR6255P5	-1219.658215	-347.1512628	-1566.809478
KI2407P6	300.8343961	552.3953632	853.2297593
GA6810P6	454.3331471	1463.337075	1917.670222
CR6250P6	-1193.743596	-397.6185879	-1591.362184
SA3313P3	-496.5421265	-470.7192324	-967.2613589
LU11588P0	765.0697167	3109.357632	3874.427349
ME12170P0	-1005.510413	-289.6087277	-1295.119141
HN3711P2	-1440.641583	-730.0293129	-2170.670896
ME12222P1	-341.5423645	229.0912747	-112.4510897
GA13750P4	-1410.449189	-475.4870387	-1885.936228
ME12117P1	-1305.437797	-899.679554	-2205.117351
OV1658P5	-885.9131172	-962.6346443	-1848.547762
ES0195P5	-364.7501011	682.9509536	318.2008525
CR3444P8	-1113.639218	-210.2482734	-1323.887492
LU11534P0	-604.3860664	813.0576092	208.6715428
OV9421P4	-222.3837076	455.267759	232.8840513
HN9280P3	-745.4382605	415.1073136	-330.3309469
SA10941P1	-866.5363586	-66.67450365	-933.2108623
ME12067P0	-153.2684537	139.1653185	-14.10313522
ES2411P6	-2009.904721	-1490.493129	-3500.39785
CV3633P6	-1057.479314	-493.6032302	-1551.082544
OV2026P5	-1406.439784	-830.2296941	-2236.669478
BR6698P9	-539.446103	2605.901233	2066.45513
GA6836P8	-982.3080484	-302.7824946	-1285.090543
UT3759P5	-1644.365635	-552.4497169	-2196.815352
CV5105P1	-1478.980198	-1557.14384	-3036.124038
LI6665P5	-1271.398476	-314.3064186	-1585.704894
HN2447P5	-577.8843885	-86.04452271	-663.9289112
UT5317P1	-729.010025	-446.1405771	-1175.150602
LU1235P5	-1352.598799	-232.5819815	-1585.180781
CR6226P6	-1764.553405	-889.2995451	-2653.85295
HN2579P10	-191.8310283	301.9620059	110.1309776
BN0769P6	-238.2450485	466.7950889	228.5500405
CR3107P5	-1672.875545	-753.9803069	-2426.855852
LY12966P5	-762.2584714	1958.042156	1195.783684
OV0243P4	-1595.283135	-963.9671366	-2559.250272
PA0372P4	-1027.595476	390.938894	-636.6565818
MU12687P0	-1187.086009	-716.6710645	-1903.757073
LU5188P2	-1349.85404	-1377.746334	-2727.600374
PA9445P4	19.78996094	674.3937288	694.1836897
BL9214P2	-1001.540972	-377.2628227	-1378.803795
MC1392P5	795.6236331	1147.436234	1943.059867
LU1423P3	-1786.733636	-1225.298325	-3012.031961
CR0193P5	-1648.923227	-584.1425839	-2233.065811
LI6664P5	-117.2531731	1066.250819	948.997646
CR6254P4	-1050.345733	-405.6423853	-1455.988118
LI6671P5	-1590.923925	-1043.310503	-2634.234428
PA4007P2	715.9121551	760.4947523	1476.406907
AL7447P2	-1479.526328	2494.043606	1014.517278
ME11981P0	-1138.738418	-372.3215993	-1511.060017
GA13757P2	1318.829784	1587.371289	2906.201073
GA6821P7	-1476.735892	-671.5223083	-2148.258201
AL5551P1	-1509.714335	2198.0298	688.315465
PA3023P4	-198.4104815	77.94407257	-120.4664089
LU5234P2	-1154.555247	-1428.664125	-2583.219372
GA6877P6	-827.9943866	291.8316937	-536.1626929
PA1336P3	-329.0788599	574.9389069	245.860047
AL7119P2	-709.6255742	2112.08299	1402.457416
LU5141P3	-1454.862191	-720.8034869	-2175.665678
CR5067P2	-1432.477565	-544.0952123	-1976.572778
BR9479P5	-992.1732238	-753.4606289	-1745.633853
CR1231P4	-1201.296717	-248.4592272	-1449.755944
ME12049P4	-1030.365395	-770.2389698	-1800.604365
LU6901P6	-1274.063656	130.6909393	-1143.372717
HN2621P4	-1449.301787	-98.44563093	-1547.747418
LU11671P1	-1834.808701	-670.3727251	-2505.181427
LU2804P0	-24.04013621	640.9234564	616.8833202
PA5403P0	15.30397415	1012.215754	1027.519728
ES3875P4	-1034.60675	-341.0274898	-1375.63424
TE3357P3	-649.9261767	-83.37244532	-733.2986221
LU5206P1	-1808.309894	-1604.947422	-3413.257316
