TestModel,Mouseratio,DuplicateModel,Vendor,TestModel2,Cancer,TumorPurity
BR10014-R4P6-20201201-25976-20210309,14.36,BR10014,NOD/SCID;,BR10014,BR,85.64
LU9355-R1P2-49311-RF,40.56,LU9355,NOD/SCID;,LU9355,LU,59.44
GA2120-P1-111208,30.54,GA2120,NOD/SCID;,GA2120,GA,69.46
GA13797-R1P1-20190731-31464-20210105,6,GA13797,NOD/SCID;,GA13797,GA,94
SA4262-R1P4-91712,12.99,SA4262,NOD/SCID;,SA4262,SA,87.01
LU6407-R8P13-20200508-95874-20210511,9.99,LU6407,NOD/SCID;,LU6407,LU,90.01
GA2120-P0-110906,28.26,GA2120,NOD/SCID;,GA2120,GA,71.74
SA4256-R1P0-20190507-27790-20210413,19.9,SA4256,NOD/SCID;,SA4256,SA,80.1
ME12165-R1P1-29143,2.54,ME12165,NOD/SCID;,ME12165,ME,97.46
CR15132-R2P4-98646-20201110,19.91,CR15132,NOD/SCID;,CR15132,CR,80.09
LI4100-R1P8-83335-LF,14.66,LI4100,NOD/SCID;,LI4100,LI,85.34
LU9355-R3P7-98621-20201013,30.62,LU9355,NOD/SCID;,LU9355,LU,69.38
SA4244-R1P3-20200107-40470-20210323,24.57,SA4244,NOD/SCID;,SA4244,SA,75.43
ME12116-R1P2-20170309-33214,4.45,ME12116,NOD/SCID;,ME12116,ME,95.55
LU9355-R1P3-13757,44.97,LU9355,NOD/SCID;,LU9355,LU,55.03
CR5082-R1P4-20160420-52982-20210302,42.26,CR5082,NOD/SCID;,CR5082,CR,57.74
SA4256-R1P0-20190507-27788-20201117,27.78,SA4256,NOD/SCID;,SA4256,SA,72.22
BR10583-R1P2-83570-RB,17.29,BR10583,NOD/SCID;,BR10583,BR,82.71
SA4244-R1P1-20190613-24468,30.62,SA4244,NOD/SCID;,SA4244,SA,69.38
SA4262-R1P3-89964,13.58,SA4262,NOD/SCID;,SA4262,SA,86.42
SA4123-R1P3-30382,44.78,SA4123,NOD/SCID;,SA4123,SA,55.22
ES11079-R2P5-19191-2021-01-05,11.48,ES11079,NOD/SCID;,ES11079,ES,88.52
PE16747-R1P2-53416-20210511,19.02,PE16747,NOD/SCID;,PE16747,PE,80.98
CC2869-R1P2-76049-20201208,22.53,CC2869,NOD/SCID;,CC2869,CC,77.47
PE16638-R1P2-53404-20210316,9.15,PE16638,NOD/SCID;,PE16638,PE,90.85
SA4164-R1P1-20180503-10976-20201117,25.39,SA4164,NOD/SCID;,SA4164,SA,74.61
PE17252-R1P1-98841-20200929,9.69,PE17252,NOD/SCID;,PE17252,PE,90.31
LU3007-P1-120111,15.77,LU3007,NOD/SCID;,LU3007,LU,84.23
LU13944-R4P4-20210427,41.65,LU13944,NOD/SCID;,LU13944,LU,58.35
AL5670-P1-32407,15.34,AL5670,NOD/SCID;,AL5670,AL,84.66
FT11219-R1P4-20201215-25512-20210316,9.59,FT11219,NOD/SCID;,FT11219,FT,90.41
CC2869-R2P4-55830-20210420,15.55,CC2869,NOD/SCID;,CC2869,CC,84.45
PA9448-R2P6-20201009-24685-20201124,31.61,PA9448,NOD/SCID;,PA9448,PA,68.39
SA4164-R1P0-20180305-47163-20210413,35.14,SA4164,NOD/SCID;,SA4164,SA,64.86
LI9320-R2P7-50999-20201110,24.45,LI9320,NOD/SCID;,LI9320,LI,75.55
LY12962-R1P1-82415-LF,9.22,LY12962,NOD/SCID;,LY12962,LY,90.78
LU5215-R2P7-20170829-68631,5.67,LU5215,NOD/SCID;,LU5215,LU,94.33
LY12962-R3P4-6444-2021-01-05,4.9,LY12962,NOD/SCID;,LY12962,LY,95.1
