TestModel,Mouseratio,DuplicateModel,Vendor,TestModel2,Cancer,TumorPurity
BL9203-R1P3-25538,59.41,BL9203,NOD/SCID;,BL9203,BL,40.59
GA3055-R8P3-20170328-R-33793,4.65,GA3055,NOD/SCID;,GA3055,GA,95.35
BR2014-R1P2-85995,6.24,BR2014,NOD/SCID;,BR2014,BR,93.76
OV9502-R1P3-97388,22.52,OV9502,NOD/SCID;,OV9502,OV,77.48
GA6820-R2P4-71938,23.99,GA6820,NOD/SCID;,GA6820,GA,76.01
GA2419-R6P7-20200909-R-30229-20201027,5.31,GA2419,NOD/SCID;,GA2419,GA,94.69
LY6938-R2P6-99589,8.83,LY6938,NOD/SCID;,LY6938,LY,91.17
ME12126-R1P1-29040,8.87,ME12126,NOD/SCID;,ME12126,ME,91.13
CR6460-R5P11-95064,12.07,CR6460,NOD/SCID;,CR6460,CR,87.93
SA4261-R2P2-20201125-R-17699-20210105,13.8,SA4261,NOD/SCID;,SA4261,SA,86.2
LI6722-R2P3-67010,36.71,LI6722,NOD/SCID;,LI6722,LI,63.29
LY6933-R6P6-2688,7,LY6933,NOD/SCID;,LY6933,LY,93
OV14654-R2P2-90359-20210316,3.02,OV14654,NOD/SCID;,OV14654,OV,96.98
CV13674-R1P2-2020804-11396-20201103,13.43,CV13674,NOD/SCID;,CV13674,CV,86.57
GA2269-R5P4-93690,17.68,GA2269,NOD/SCID;,GA2269,GA,82.32
SK12227-R1P0-77464,6.74,SK12227,NOD/SCID;,SK12227,SK,93.26
ME9365-R1P4-20180607-16169-20180716,4.31,ME9365,NOD/SCID;,ME9365,ME,95.69
LI1068-R12P4-20191205-R-36024,18.75,LI1068,NOD/SCID;,LI1068,LI,81.25
LI1068-R3P3-20140918-R-60048,35.49,LI1068,NOD/SCID;,LI1068,LI,64.51
AM5512-P5-LI-20200428E-2020-7-7,17.96,AM5512,NOD/SCID;,AM5512,AM,82.04
GA9274-R1P3-20180201-46851-20201027,29.84,GA9274,NOD/SCID;,GA9274,GA,70.16
SA4242-R2P4-20200707-13009-20201013,16.4,SA4242,NOD/SCID;,SA4242,SA,83.6
CR2967-R1P2-96356,46.43,CR2967,NOD/SCID;,CR2967,CR,53.57
ME14003-R1P3-21169,8.31,ME14003,NOD/SCID;,ME14003,ME,91.69
ME9365-R2P5-20200527-R-46191,3.78,ME9365,NOD/SCID;,ME9365,ME,96.22
ME10232-R1P1-20158-RF,6.11,ME10232,NOD/SCID;,ME10232,ME,93.89
PA2023-R1P6-51763,26.83,PA2023,NOD/SCID;,PA2023,PA,73.17
PE16294-R1P0-96106,32.04,PE16294,NOD/SCID;,PE16294,PE,67.96
GA3055-R12P5-20200909-R-30201-20201027,9.66,GA3055,NOD/SCID;,GA3055,GA,90.34
PA1333-R5P5-20200108-35811,37.02,PA1333,NOD/SCID;,PA1333,PA,62.98
PE17371-R1P0-94678-20200901,25.64,PE17371,NOD/SCID;,PE17371,PE,74.36
BL5002-R2P7-43124-RF,2.67,BL5002,NOD/SCID;,BL5002,BL,97.33
AL8223-P2-SP-20200324B-2020-6-19,17.08,AL8223,NOD/SCID;,AL8223,AL,82.92
BL5002-R2P7-43121-RB,6.64,BL5002,NOD/SCID;,BL5002,BL,93.36
CV10936-R1P1-51106-20201027,25.08,CV10936,NOD/SCID;,CV10936,CV,74.92
LU6404-R8P17-95943,10.57,LU6404,NOD/SCID;,LU6404,LU,89.43
HN2575-R1P12-51685,41.66,HN2575,NOD/SCID;,HN2575,HN,58.34
LI6206-P10-21317,0.33,LI6206,NOD/SCID;,LI6206,LI,99.67
SA4190-R2P3-34900,12.26,SA4190,NOD/SCID;,SA4190,SA,87.74
ME9384-R2P4-20200508-R-47159,9.55,ME9384,NOD/SCID;,ME9384,ME,90.45
LY6938-R1P7-57045,20.26,LY6938,NOD/SCID;,LY6938,LY,79.74
LU0861-R13P1-90964,40.2,LU0861,NOD/SCID;,LU0861,LU,59.8
FT11155-R1P0-97121-20201027,5.22,FT11155,NOD/SCID;,FT11155,FT,94.78
CR9242-R1P3-7902-LB,18.73,CR9242,NOD/SCID;,CR9242,CR,81.27
ME9396-R1P2-47105-RF,5.89,ME9396,NOD/SCID;,ME9396,ME,94.11
SK12227-R1P2-83401-RF,6.91,SK12227,NOD/SCID;,SK12227,SK,93.09
CR15726-R1P0-21652,10.84,CR15726,NOD/SCID;,CR15726,CR,89.16
HN2574-R3P14-99651-20200818,24.1,HN2574,NOD/SCID;,HN2574,HN,75.9
CR9253-R1P3-49115,24.85,CR9253,NOD/SCID;,CR9253,CR,75.15
LI6462-R2P10-67805,20.15,LI6462,NOD/SCID;,LI6462,LI,79.85
SA16043-R3P4-9668,2.66,SA16043,NOD/SCID;,SA16043,SA,97.34
HN3513-R4P3-99463-20200908,21.18,HN3513,NOD/SCID;,HN3513,HN,78.82
HN3540-R1P2-20150804-12030,32.2,HN3540,NOD/SCID;,HN3540,HN,67.8
PA2023-R1P6-51762,39.88,PA2023,NOD/SCID;,PA2023,PA,60.12
CR11375-R1P0-21773,23.38,CR11375,NOD/SCID;,CR11375,CR,76.62
OV9413-R1P4-15469-RB,47.05,OV9413,NOD/SCID;,OV9413,OV,52.95
LU5210-R2P7-20180116-72442,35,LU5210,NOD/SCID;,LU5210,LU,65
SA3839-R3P3-09686,17.83,SA3839,NOD/SCID;,SA3839,SA,82.17
AM5512-P6-LI-20190827A-19R52621,13.24,AM5512,NOD/SCID;,AM5512,AM,86.76
LI6700-R3P4-33026,28.28,LI6700,NOD/SCID;,LI6700,LI,71.72
LI6700-R2P6-51018,32.9,LI6700,NOD/SCID;,LI6700,LI,67.1
PA9450-R1P3-12292-RF,33.78,PA9450,NOD/SCID;,PA9450,PA,66.22
HN2577-R1P7-88206,36.26,HN2577,NOD/SCID;,HN2577,HN,63.74
ES0178-R20P6-22449,16.85,ES0178,NOD/SCID;,ES0178,ES,83.15
HN2588-R3P5-92212,43.79,HN2588,NOD/SCID;,HN2588,HN,56.21
LU18032-R1P0-20191128-R-36278,5.94,LU18032,NOD/SCID;,LU18032,LU,94.06
AM5512-P6-SP-20190626C,22.66,AM5512,NOD/SCID;,AM5512,AM,77.34
LU18032-R1P0-201901128-36277,10.91,LU18032,NOD/SCID;,LU18032,LU,89.09
AM5512-P6-SP-20190625B,50.2,AM5512,NOD/SCID;,AM5512,AM,49.8
GA2419-R5P5-95103,22.28,GA2419,NOD/SCID;,GA2419,GA,77.72
OV1365-R3P5-20140820-50500-20200929,10.2,OV1365,NOD/SCID;,OV1365,OV,89.8
AM5512-P5-LI-20200428E-T,13.02,AM5512,NOD/SCID;,AM5512,AM,86.98
GA6836-R1P3-43703,4.12,GA6836,NOD/SCID;,GA6836,GA,95.88
OV14654-R2P4-93250-20210316,0.98,OV14654,NOD/SCID;,OV14654,OV,99.02
AM5512-P6-LI-20190827A,7.49,AM5512,NOD/SCID;,AM5512,AM,92.51
ME12145-R2P2-09118,13.25,ME12145,NOD/SCID;,ME12145,ME,86.75
OV5296-R1P5-57690,21.55,OV5296,NOD/SCID;,OV5296,OV,78.45
LU2051-R3P6-96985-20201013,11.87,LU2051,NOD/SCID;,LU2051,LU,88.13
AM5512-P6-SP-20190709A,42.45,AM5512,NOD/SCID;,AM5512,AM,57.55
LI6650-R7P6-99581,20.6,LI6650,NOD/SCID;,LI6650,LI,79.4
ME9365-R1P3-49665-RF,9.43,ME9365,NOD/SCID;,ME9365,ME,90.57
BR9480-R1P7-96031,5.16,BR9480,NOD/SCID;,BR9480,BR,94.84
AM5512-P5-SP-20190625B,42.61,AM5512,NOD/SCID;,AM5512,AM,57.39
HN2609-R1P3-88889,22.22,HN2609,NOD/SCID;,HN2609,HN,77.78
LI2644-R2P6-69333,16.49,LI2644,NOD/SCID;,LI2644,LI,83.51
KI9310-R1P4-48389-RF,2.84,KI9310,NOD/SCID;,KI9310,KI,97.16
CR2646-R2P5-60792,16.38,CR2646,NOD/SCID;,CR2646,CR,83.62
AM5512-P6-SP-20190827A-19R52616,38.17,AM5512,NOD/SCID;,AM5512,AM,61.83
HN2167-R9P4-97351,71.76,HN2167,NOD/SCID;,HN2167,HN,28.24
HN2574-R1P12-85567,48.05,HN2574,NOD/SCID;,HN2574,HN,51.95
AM5512-P6-SP-20190827A-19R52620,50.79,AM5512,NOD/SCID;,AM5512,AM,49.21
AM5512-P6-LI-20190827A-19R52617,20.35,AM5512,NOD/SCID;,AM5512,AM,79.65
HN3711-R1P2-15325,14.76,HN3711,NOD/SCID;,HN3711,HN,85.24
OV2029-R5P13-90987,42.94,OV2029,NOD/SCID;,OV2029,OV,57.06
GA6203-R6P4-90088,20.54,GA6203,NOD/SCID;,GA6203,GA,79.46
LI3243-R1P6-64816,16.25,LI3243,NOD/SCID;,LI3243,LI,83.75
CR1287-R7P6-09252,9.15,CR1287,NOD/SCID;,CR1287,CR,90.85
PA1360-R8P5-32757,40.46,PA1360,NOD/SCID;,PA1360,PA,59.54
LY9604-R4P3-20210519-R-20846-20210622,1.47,LY9604,NOD/SCID;,LY9604,LY,98.53
AL5564-P5-LI-20210518A-20210622-20210629,5.3,AL5564,NOD/SCID;,AL5564,AL,94.7
ES0214-R10P5-20170829-40558,6.51,ES0214,NOD/SCID;,ES0214,ES,93.49
AM7407-P0-BM-20200211K-20200918,22.15,AM7407,NOD/SCID;,AM7407,AM,77.85
BR10623-R1P0-97278,36.96,BR10623,NOD/SCID;,BR10623,BR,63.04
AM5512-P7-SP-20200811V-20200919,24.53,AM5512,NOD/SCID;,AM5512,AM,75.47
BR9227-R3P2-20200715-R-12883-20201013,29.64,BR9227,NOD/SCID;,BR9227,BR,70.36
CC2947-R1P2-93005-20201208,18.53,CC2947,NOD/SCID;,CC2947,CC,81.47
AM5512-P5-SP-20200428E-2020-6-22,13.79,AM5512,NOD/SCID;,AM5512,AM,86.21
LI6619-R8P5-20180123-45552-20200915,11.58,LI6619,NOD/SCID;,LI6619,LI,88.42
PE16979-R1P2-53281-20201215,16.6,PE16979,NOD/SCID;,PE16979,PE,83.4
AM5512-P5-SP-20190625B,40.72,AM5512,NOD/SCID;,AM5512,AM,59.28
BR9469-R4P6-54886-20210223,3.34,BR9469,NOD/SCID;,BR9469,BR,96.66
AM5512-P6-LI-20200811V-20200921,24.9,AM5512,NOD/SCID;,AM5512,AM,75.1
AM5512-P5-SP-20200428E-2020-6-17-1,21.46,AM5512,NOD/SCID;,AM5512,AM,78.54
CV10956-R1P0-99736-20201013,42.41,CV10956,NOD/SCID;,CV10956,CV,57.59
ES0214-R13P6-20200325-R-48737-20200901,7.1,ES0214,NOD/SCID;,ES0214,ES,92.9
AM5512-P6-LI-20200811V-20200928,16.55,AM5512,NOD/SCID;,AM5512,AM,83.45
CC2947-R1P1-90600-20201208,15.3,CC2947,NOD/SCID;,CC2947,CC,84.7
OV9401-R2P6-20200826-10428-20201027,32.56,OV9401,NOD/SCID;,OV9401,OV,67.44
ES0026-R23P2-91996,12.82,ES0026,NOD/SCID;,ES0026,ES,87.18
AM5512-P5-20190607,18.15,AM5512,NOD/SCID;,AM5512,AM,81.85
BR10760-R1P4-20201201-25994-20210316,2.82,BR10760,NOD/SCID;,BR10760,BR,97.18
BR9469-R1P7-87626-LB,3.53,BR9469,NOD/SCID;,BR9469,BR,96.47
BR10623-R1P2-50775-20201013,11.74,BR10623,NOD/SCID;,BR10623,BR,88.26
AM5512-P5-LI-20200428E-2020-6-28,12.43,AM5512,NOD/SCID;,AM5512,AM,87.57
AM5512-P5-LI-20190625B,15.88,AM5512,NOD/SCID;,AM5512,AM,84.12
AM5512-P6-SP-20200811V-20200928,19.93,AM5512,NOD/SCID;,AM5512,AM,80.07
AM5512-P6-SP-20190604E,29.87,AM5512,NOD/SCID;,AM5512,AM,70.13
SA16043-R2P3-25968,1.86,SA16043,NOD/SCID;,SA16043,SA,98.14
AM5512-P7-LI-20200811V-20200919,18.46,AM5512,NOD/SCID;,AM5512,AM,81.54
AM5512-P6-LI-20200811V-20200923,20.44,AM5512,NOD/SCID;,AM5512,AM,79.56
CR2533-P1,5.38,CR2533,NOD/SCID;,CR2533,CR,94.62
AL8223-P5-SP-20200324B,14.44,AL8223,NOD/SCID;,AL8223,AL,85.56
AM5512-P5-LI-20200428E-2020-6-22-1,16.91,AM5512,NOD/SCID;,AM5512,AM,83.09
BR10608-R1P1-51031-20201110,34.39,BR10608,NOD/SCID;,BR10608,BR,65.61
LY6938-R1P5-20160621-54972-20200908,40.89,LY6938,NOD/SCID;,LY6938,LY,59.11
AM5512-P5-LI-20200428E-18,11.75,AM5512,NOD/SCID;,AM5512,AM,88.25
AM5512-P5-LI-20190626B,15.85,AM5512,NOD/SCID;,AM5512,AM,84.15
AM5512-P5-SP-20200428E-11,15.69,AM5512,NOD/SCID;,AM5512,AM,84.31
BR9480-R1P3-86653-RF,12.2,BR9480,NOD/SCID;,BR9480,BR,87.8
AM5512-P5-SP-20190626C2,29.22,AM5512,NOD/SCID;,AM5512,AM,70.78
AM5512-P5-SP-20190626C,36.14,AM5512,NOD/SCID;,AM5512,AM,63.86
AL8223-P2-LI-20200324B-2020-6-19,42.92,AL8223,NOD/SCID;,AL8223,AL,57.08
AM5512-P5-SP-20200428E--2020-6-28,17.85,AM5512,NOD/SCID;,AM5512,AM,82.15
CV10976-R1P3-20200804-10088-20201020,18.31,CV10976,NOD/SCID;,CV10976,CV,81.69
AM5512-P5-SP-20200428E-13,25.65,AM5512,NOD/SCID;,AM5512,AM,74.35
CV10976-R1P0-20200422-R-44284,14.55,CV10976,NOD/SCID;,CV10976,CV,85.45
AM5512-P6-SP-20190625B,22.28,AM5512,NOD/SCID;,AM5512,AM,77.72
ES0181-R5P2-50158,21.59,ES0181,NOD/SCID;,ES0181,ES,78.41
AM5512-P5-SP-20200428E-2020-7-7,20.88,AM5512,NOD/SCID;,AM5512,AM,79.12
AM5512-P5-LI-20200428E-12,10.46,AM5512,NOD/SCID;,AM5512,AM,89.54
AL8223-P5-SP-20200324B-7,7.36,AL8223,NOD/SCID;,AL8223,AL,92.64
LU11681-R1P1-77690-LB,14.14,LU11681,NOD/SCID;,LU11681,LU,85.86
BR9469-R1P7-87626,21.69,BR9469,NOD/SCID;,BR9469,BR,78.31
AM5512-P5-LI-20200428E-10,14.49,AM5512,NOD/SCID;,AM5512,AM,85.51
AM5512-P5-SP20200408E-30,20.02,AM5512,NOD/SCID;,AM5512,AM,79.98
CV10929-R1P0-20200701-R-13507-20200908,10.61,CV10929,NOD/SCID;,CV10929,CV,89.39
BR9480-R1P4-88237,9.07,BR9480,NOD/SCID;,BR9480,BR,90.93
AL8223-P5-LI-20200324B-6,42.52,AL8223,NOD/SCID;,AL8223,AL,57.48
AM5512-P5-SP-20200428E-19,12.05,AM5512,NOD/SCID;,AM5512,AM,87.95
AL8223-P2-LI-20200324B-2020-6-26-2,43.59,AL8223,NOD/SCID;,AL8223,AL,56.41
BR9457-R1P6-86686-RF,32.85,BR9457,NOD/SCID;,BR9457,BR,67.15
LY2264-R8P4,14.15,LY2264,NOD/SCID;,LY2264,LY,85.85
CR2665-R2P5-66530,30.08,CR2665,NOD/SCID;,CR2665,CR,69.92
ME12051-R1P1-30402,17.75,ME12051,NOD/SCID;,ME12051,ME,82.25
CR15138-R1P0-17055-RF,24.09,CR15138,NOD/SCID;,CR15138,CR,75.91
BR10727-R2P2-20200617-R-46567,27.03,BR10727,NOD/SCID;,BR10727,BR,72.97
OV15727-R1P1-83233-LF,9.33,OV15727,NOD/SCID;,OV15727,OV,90.67
BL9212-R1P2-49293-RF,19.33,BL9212,NOD/SCID;,BL9212,BL,80.67
GA6836-R5P4-95129,5.76,GA6836,NOD/SCID;,GA6836,GA,94.24
SA4033-R3P1-20191113-37811,4.82,SA4033,NOD/SCID;,SA4033,SA,95.18
CR3085-R11P4-91979,18.07,CR3085,NOD/SCID;,CR3085,CR,81.93
CR3085-R7P1-24680,36.01,CR3085,NOD/SCID;,CR3085,CR,63.99
AL8223-P4-SP-20191017A-20R01766,13.11,AL8223,NOD/SCID;,AL8223,AL,86.89
AL8223-P4-SP-20191017A-20R01767,16.36,AL8223,NOD/SCID;,AL8223,AL,83.64
LU1143-P1,50.47,LU1143,NOD/SCID;,LU1143,LU,49.53
AM5512-P7-LI-20190709A,25.65,AM5512,NOD/SCID;,AM5512,AM,74.35
AL8223-P4-SP-20191017A-20R01769,8.75,AL8223,NOD/SCID;,AL8223,AL,91.25
AL8223-P2-SP-20190608B,9.49,AL8223,NOD/SCID;,AL8223,AL,90.51
AL8223-P4-SP-20191017A-20R01768,8.42,AL8223,NOD/SCID;,AL8223,AL,91.58
AM5512-P5-LI-20190626C,18.99,AM5512,NOD/SCID;,AM5512,AM,81.01
CR9513-R1P4-50936-20201013,7.28,CR9513,NOD/SCID;,CR9513,CR,92.72
AM7125-P0-BM-20200211K-20200918,3.6,AM7125,NOD/SCID;,AM7125,AM,96.4
CR9262-R1P2-20180124-45806-2018-3-8,18.06,CR9262,NOD/SCID;,CR9262,CR,81.94
CR9513-R1P3-98973-20200818,2.5,CR9513,NOD/SCID;,CR9513,CR,97.5
BR10727-R1P1-20200324-49150-20200929,15.25,BR10727,NOD/SCID;,BR10727,BR,84.75
AM7125-P0-SP-TU-20200211J-20200908,26.35,AM7125,NOD/SCID;,AM7125,AM,73.65
AM7125-P0-SP-20200211J,26.33,AM7125,NOD/SCID;,AM7125,AM,73.67
ME12065-R1P1-20161201-29530,39.84,ME12065,NOD/SCID;,ME12065,ME,60.16
ME9386-R2P5-20200910-30008-20201027,22.02,ME9386,NOD/SCID;,ME9386,ME,77.98
CR11375-R1P0-20190425-21775-20200915,19.06,CR11375,NOD/SCID;,CR11375,CR,80.94
BN10397-R1P3-20200225-43203,11.62,BN10397,NOD/SCID;,BN10397,BN,88.38
BR9469-R1P7-87628-20201222,8.65,BR9469,NOD/SCID;,BR9469,BR,91.35
BR9457-R1P7-87649,10.6,BR9457,NOD/SCID;,BR9457,BR,89.4
SA13226-R1P2-82555-20210601,37.69,SA13226,NOD/SCID;,SA13226,SA,62.31
ME9386-R1P3-20180628-13142,53.35,ME9386,NOD/SCID;,ME9386,ME,46.65
BR9465-R1P11-93283,8.71,BR9465,NOD/SCID;,BR9465,BR,91.29
CR9262-R1P2-20180124-45809-20200901,19.43,CR9262,NOD/SCID;,CR9262,CR,80.57
HN9300-R1P4-20180411-49307-20201013,12.26,HN9300,NOD/SCID;,HN9300,HN,87.74
BR9465-R1P8-88713,7.54,BR9465,NOD/SCID;,BR9465,BR,92.46
CR11375-R1P3-92870,22.26,CR11375,NOD/SCID;,CR11375,CR,77.74
CR11375-R1P0-20190425-21772-20200901,39,CR11375,NOD/SCID;,CR11375,CR,61
AM5512-P5-SP-20200428E-8,16.11,AM5512,NOD/SCID;,AM5512,AM,83.89
AM5512-P5-LI-20200408E-31,9.58,AM5512,NOD/SCID;,AM5512,AM,90.42
AM5512-P5-LI-20200428E-2020-6-17,17.24,AM5512,NOD/SCID;,AM5512,AM,82.76
LU9329-R1P6-20180719-13873,69.57,LU9329,NOD/SCID;,LU9329,LU,30.43
AM5512-P5-LI-20200428E-9,15.08,AM5512,NOD/SCID;,AM5512,AM,84.92
OV9497-R1P3-95479,35.62,OV9497,NOD/SCID;,OV9497,OV,64.38
BR10727-R1P1-20200324-49150,26.12,BR10727,NOD/SCID;,BR10727,BR,73.88
PA3136-R2P2-32238,17.41,PA3136,NOD/SCID;,PA3136,PA,82.59
BR9465-R1P6-86635-RF,25.51,BR9465,NOD/SCID;,BR9465,BR,74.49
CR3085-R10P2-20191212-35065,11.8,CR3085,NOD/SCID;,CR3085,CR,88.2
ES3879-R1P2-20170122-31164-20210629,19.01,ES3879,NOD/SCID;,ES3879,ES,80.99
CR15602-R1P3-20200201-26630,21.08,CR15602,NOD/SCID;,CR15602,CR,78.92
CV10977-R1P2-20200724-12938-20002027,6.49,CV10977,NOD/SCID;,CV10977,CV,93.51
CV10977-R1P0-20200714-12936-20200818,2.87,CV10977,NOD/SCID;,CV10977,CV,97.13
CV10977-R1P0-20200422-47862,12.42,CV10977,NOD/SCID;,CV10977,CV,87.58
PE17120-R1P0-96175,8.27,PE17120,NOD/SCID;,PE17120,PE,91.73
CR2967-R1P3-98373-20200818,30.79,CR2967,NOD/SCID;,CR2967,CR,69.21
CV10977-R1P0-20200422-47865-20200818,8.63,CV10977,NOD/SCID;,CV10977,CV,91.37
HN9293-R2P3-20200616-R-46756,22.26,HN9293,NOD/SCID;,HN9293,HN,77.74
CR15339-R1P3-91261,44.4,CR15339,NOD/SCID;,CR15339,CR,55.6
BN10397-R1P4-20200526-46065,8.33,BN10397,NOD/SCID;,BN10397,BN,91.67
LI2823-R1P0-18687,29.19,LI2823,NOD/SCID;,LI2823,LI,70.81
LU9329-R1P6-20180719-13872-20201020,71.52,LU9329,NOD/SCID;,LU9329,LU,28.48
ME9387-R3P3-20200618-R-46593-20200929,4.22,ME9387,NOD/SCID;,ME9387,ME,95.78
CV13646-R1P2-50757-20200825,21.94,CV13646,NOD/SCID;,CV13646,CV,78.06
SA4223-R1P1-20181212-20537-20200929,49.07,SA4223,NOD/SCID;,SA4223,SA,50.93
CR15602-R1P1-20190919-34958-20200819,24.46,CR15602,NOD/SCID;,CR15602,CR,75.54
CR9247-R1P6-13650-LB,2.21,CR9247,NOD/SCID;,CR9247,CR,97.79
BR9457-R1P6-86687-RF,71.1,BR9457,NOD/SCID;,BR9457,BR,28.9
LY9604-R1P4-20200819-11883-20210112,2.65,LY9604,NOD/SCID;,LY9604,LY,97.35
CV13646-R1P0-99252,20.06,CV13646,NOD/SCID;,CV13646,CV,79.94
SA4223-R1P0-15780-RF,41.95,SA4223,NOD/SCID;,SA4223,SA,58.05
LI4100-R1P0-1195,18.86,LI4100,NOD/SCID;,LI4100,LI,81.14
CR15339-R1P0-30868,24.67,CR15339,NOD/SCID;,CR15339,CR,75.33
SA4223-R1P0-20180925-15780-20200818,34.38,SA4223,NOD/SCID;,SA4223,SA,65.62
CR2967-R1P0-93501,24.62,CR2967,NOD/SCID;,CR2967,CR,75.38
LY9604-R1P2-20200702-13278-20210525,2.62,LY9604,NOD/SCID;,LY9604,LY,97.38
BR10007-R1P0-97550-202009022,13.77,BR10007,NOD/SCID;,BR10007,BR,86.23
LU9341-R2P2-20200513-47259-20200908,23.92,LU9341,NOD/SCID;,LU9341,LU,76.08
CV16522-R1P0-20200617-R-45401-20200825,12.38,CV16522,NOD/SCID;,CV16522,CV,87.62
PA9441-R1P2-20180315-48154-20200915,25.88,PA9441,NOD/SCID;,PA9441,PA,74.12
LY9602-R1P2-20200702-13284,3.12,LY9602,NOD/SCID;,LY9602,LY,96.88
FT3775-R1P0-20150316-63575,7.52,FT3775,NOD/SCID;,FT3775,FT,92.48
LY9604-R3P5-23015-20210330,4.76,LY9604,NOD/SCID;,LY9604,LY,95.24
PA9441-R2P5-20200730-12173-20200915,23.07,PA9441,NOD/SCID;,PA9441,PA,76.93
SA4220-R1P2-20190313-30633-20200929,36.01,SA4220,NOD/SCID;,SA4220,SA,63.99
LY9602-R1P1-20200529-R-46086,1.32,LY9602,NOD/SCID;,LY9602,LY,98.68
ES3881-R1P0-22327,14.75,ES3881,NOD/SCID;,ES3881,ES,85.25
PA9441-R1P3-20180503-10092,46,PA9441,NOD/SCID;,PA9441,PA,54
LU9341-R2P2-20200513-R-47259,23.78,LU9341,NOD/SCID;,LU9341,LU,76.22
PR9585-R1P1-95842-20200908,26.77,PR9585,NOD/SCID;,PR9585,PR,73.23
SA4220-R1P0-20180912-15707-20200819,20.27,SA4220,NOD/SCID;,SA4220,SA,79.73
CR15449-R1P2-31145,9.37,CR15449,NOD/SCID;,CR15449,CR,90.63
GA6825-R3P5-69777-RF,9.36,GA6825,NOD/SCID;,GA6825,GA,90.64
LU9341-R2P5-20200902-10911-20201020,31,LU9341,NOD/SCID;,LU9341,LU,69
LY6942-R1P4-54435,30.91,LY6942,NOD/SCID;,LY6942,LY,69.09
LU1356-P2,35.68,LU1356,NOD/SCID;,LU1356,LU,64.32
CR15449-R1P0-21395-RF,37.78,CR15449,NOD/SCID;,CR15449,CR,62.22
HN3558-R1P0-60633,37.65,HN3558,NOD/SCID;,HN3558,HN,62.35
FT3775-R1P0-63575,11.15,FT3775,NOD/SCID;,FT3775,FT,88.85
SA4220-R1P1-20190117-26840-20200818,22.21,SA4220,NOD/SCID;,SA4220,SA,77.79
PA9441-R2P4-20200618-R-46546,32.81,PA9441,NOD/SCID;,PA9441,PA,67.19
LU6406-R1P6-28759-202106015,29.54,LU6406,NOD/SCID;,LU6406,LU,70.46
CR9247-R1P3-20180328-R-48576-2018-5-3,11.86,CR9247,NOD/SCID;,CR9247,CR,88.14
LY9602-R1P2-20200702-13281-20200825,1.59,LY9602,NOD/SCID;,LY9602,LY,98.41
CR9247-R2P4-20200526-R-41844,6.73,CR9247,NOD/SCID;,CR9247,CR,93.27
CR9247-R1P3-10961-LF,4.12,CR9247,NOD/SCID;,CR9247,CR,95.88
LY9602-R1P1-46242-SP-20200707,14.56,LY9602,NOD/SCID;,LY9602,LY,85.44
CR9247-R2P5-20200624-45896,10.51,CR9247,NOD/SCID;,CR9247,CR,89.49
HN9301-R2P4-20200618-R-46584-20200819,36.47,HN9301,NOD/SCID;,HN9301,HN,63.53
HN2400-R1P4-75476,14.36,HN2400,NOD/SCID;,HN2400,HN,85.64
HN9301-R2P5-20200813-11670-20200922,41.5,HN9301,NOD/SCID;,HN9301,HN,58.5
HN9301-R1P3-20180801-17829,38.21,HN9301,NOD/SCID;,HN9301,HN,61.79
HN9301-R1P3-20180801-17829-20200922,32.78,HN9301,NOD/SCID;,HN9301,HN,67.22
SA13305-R2P4-20190829-32893-20210202,2.08,SA13305,NOD/SCID;,SA13305,SA,97.92
HN9297-R1P5-20200310-49520,15.27,HN9297,NOD/SCID;,HN9297,HN,84.73
ES3876-R1P1-25883,38.11,ES3876,NOD/SCID;,ES3876,ES,61.89
ES3876-R1P2-27861,34.98,ES3876,NOD/SCID;,ES3876,ES,65.02
LU5178-R2P4-20190619-R-22633-20201117,49.03,LU5178,NOD/SCID;,LU5178,LU,50.97
CR6460-R1P22-87513-202106015,16.89,CR6460,NOD/SCID;,CR6460,CR,83.11
UT5321-R1P5-26828,87.41,UT5321,NOD/SCID;,UT5321,UT,12.59
CC1470-R7P4-20210127-R-29223-20210413,51.81,CC1470,NOD/SCID;,CC1470,CC,48.19
HN2588-R4P4-19446-20210615,29.1,HN2588,NOD/SCID;,HN2588,HN,70.9
BR1283-R10P6-20160414-7120-20210413,23.72,BR1283,NOD/SCID;,BR1283,BR,76.28
LU5187-P6-20200521-XO0860,89.58,LU5187,NOD/SCID;,LU5187,LU,10.42
HN2576-R8P14-57382-20210608,70.71,HN2576,NOD/SCID;,HN2576,HN,29.29
SA3840-R6P8-20210304-16587-20210511,5.48,SA3840,NOD/SCID;,SA3840,SA,94.52
LY2214-R12P5-95792-20210601,5.65,LY2214,NOD/SCID;,LY2214,LY,94.35
ME11971-R4P5-58906-20210622,11.34,ME11971,NOD/SCID;,ME11971,ME,88.66
ME14002-R1P4-23794,55.75,ME14002,NOD/SCID;,ME14002,ME,44.25
LU5171-R1P5-20180814-R-14707-20201117,0.51,LU5171,NOD/SCID;,LU5171,LU,99.49
SA4257-R1P2-20200218-43824-20210601,23.13,SA4257,NOD/SCID;,SA4257,SA,76.87
LU5176-R3P4-20210101-31981-20210323,17.86,LU5176,NOD/SCID;,LU5176,LU,82.14
LU5260-R4P4-55929-20210601,69.38,LU5260,NOD/SCID;,LU5260,LU,30.62
HN3474-R5P9-30170-20201208,60,HN3474,NOD/SCID;,HN3474,HN,40
