NAME	Cancer	StromalScore	ImmuneScore	ESTIMATEScore
LU5138P1	LUSC	-1892.259131	-838.569421	-2730.828552
LU9355P5	LUSC	-303.9966575	596.4117145	292.4150569
LU2569P8	LUSC	-1803.881019	-1309.61377	-3113.494789
LU5148P5	LUSC	-1442.157014	-554.0002344	-1996.157248
LU6919P7	LUSC	-951.0861147	-722.9331727	-1674.019287
LU2963P2	LUSC	-1336.50237	-833.9351419	-2170.437512
LU0894P3	LUSC	-73.36489707	295.5394307	222.1745336
LU1160P3	LUSC	-1849.859765	-786.6112164	-2636.470982
LU6408P6	LUSC	-569.6429166	257.6183187	-312.024598
LU6481P12	LUSC	471.0411906	2585.729957	3056.771147
LU0861P4	LUSC	-1040.150079	-401.2696355	-1441.419714
LU1542P5	LUSC	-2154.999265	-1527.300875	-3682.300141
LU6423P8	LUSC	-684.6817234	209.8115685	-474.8701549
LU5190P1	LUSC	-459.588047	122.0471348	-337.5409122
LU6407P1	LUSC	-1097.110367	-153.0928845	-1250.203252
LU5146P3	LUSC	-862.7077164	-551.7010634	-1414.40878
LU1656P5	LUSC	382.8864399	57.81936784	440.7058077
LU1204P5	LUSC	-1040.622989	-22.30833201	-1062.931321
LU11836P0	NSCLC	-922.2391955	-655.4346068	-1577.673802
LU11951P0	NSCLC	373.1096239	904.4259825	1277.535606
LU11610P5	NSCLC	988.1799943	1697.276516	2685.45651
LU2445P10	NSCLC	379.8168081	130.1684624	509.9852705
LU5169P1	NSCLC	-507.4590282	-15.49327522	-522.9523034
LU5407P0	NSCLC	-925.5188679	-599.7908928	-1525.309761
LU11671P1	NSCLC	-1834.808701	-670.3727251	-2505.181427
LU11685P0	NSCLC	-397.9560617	183.3397276	-214.6163341
LU5351P0	NSCLC	-1056.170921	-148.2542397	-1204.425161
LU2051P7	NSCLC	-699.245925	-709.7545985	-1409.000524
LU9348P7	NSCLC	-816.5427578	-346.110546	-1162.653304
LU11942P0	NSCLC	-978.7042698	-995.113792	-1973.818062
LU5199P1	NSCLC	146.7851223	848.2086437	994.993766
LU13944P0	NSCLC	223.4623792	1048.415855	1271.878234
LU5193P1	NSCLC	-129.6955512	116.6927236	-13.00282758
