sample	TCGA-project	ABSOLUTE_Locallo2019
TCGA-QT-A5XN-01	PCPG	0.92
TCGA-QT-A5XO-01	PCPG	0.65
TCGA-QT-A7U0-01	PCPG	0.69
TCGA-RT-A6Y9-01	PCPG	0.6
TCGA-RW-A67V-01	PCPG	0.95
TCGA-RW-A67W-01	PCPG	0.76
TCGA-RW-A67X-01	PCPG	0.3
TCGA-RW-A67Y-01	PCPG	0.87
TCGA-RW-A680-01	PCPG	0.73
TCGA-RW-A681-01	PCPG	1
TCGA-RW-A684-01	PCPG	0.78
TCGA-RW-A685-01	PCPG	0.66
TCGA-RW-A689-01	PCPG	0.53
TCGA-RW-A68A-01	PCPG	0.83
TCGA-RW-A68B-01	PCPG	0.87
TCGA-RW-A68D-01	PCPG	0.8
TCGA-RW-A68F-01	PCPG	0.87
TCGA-RW-A68G-01	PCPG	0.7
TCGA-RX-A8JQ-01	PCPG	0.49
TCGA-S7-A7WN-01	PCPG	0.73
TCGA-S7-A7WO-01	PCPG	0.2
TCGA-S7-A7WQ-01	PCPG	0.54
TCGA-S7-A7WT-01	PCPG	0.2
TCGA-S7-A7WW-01	PCPG	0.66
TCGA-S7-A7WX-01	PCPG	0.6
TCGA-S7-A7X0-01	PCPG	0.28
TCGA-S7-A7X1-01	PCPG	0.61
TCGA-S7-A7X2-01	PCPG	0.48
TCGA-SP-A6QC-01	PCPG	0.63
TCGA-SP-A6QD-01	PCPG	0.72
TCGA-SP-A6QF-01	PCPG	0.6
TCGA-SP-A6QI-01	PCPG	0.89
TCGA-SP-A6QK-01	PCPG	0.63
TCGA-SQ-A6I4-01	PCPG	0.56
TCGA-SQ-A6I6-01	PCPG	0.84
TCGA-SR-A6MS-01	PCPG	0.79
TCGA-SR-A6MU-01	PCPG	0.77
TCGA-SR-A6MV-01	PCPG	0.24
TCGA-SR-A6MX-01	PCPG	0.79
TCGA-SR-A6MX-06	PCPG	0.8
TCGA-SR-A6MY-01	PCPG	0.69
TCGA-SR-A6N0-01	PCPG	0.49
TCGA-TT-A6YJ-01	PCPG	0.9
TCGA-TT-A6YK-01	PCPG	0.54
TCGA-TT-A6YN-01	PCPG	0.79
TCGA-TT-A6YP-01	PCPG	0.35
TCGA-W2-A7H5-01	PCPG	0.78
TCGA-W2-A7H7-01	PCPG	0.53
TCGA-W2-A7HA-01	PCPG	0.61
TCGA-W2-A7HB-01	PCPG	0.37
TCGA-W2-A7HC-01	PCPG	0.67
TCGA-W2-A7HD-01	PCPG	0.86
TCGA-W2-A7HE-01	PCPG	0.48
TCGA-W2-A7HF-01	PCPG	0.86
TCGA-W2-A7HH-01	PCPG	0.19
TCGA-W2-A7UY-01	PCPG	0.82
TCGA-WB-A80L-01	PCPG	0.79
TCGA-WB-A80M-01	PCPG	0.9
TCGA-WB-A80O-01	PCPG	0.62
TCGA-WB-A80P-01	PCPG	0.75
TCGA-WB-A80Q-01	PCPG	0.29
TCGA-WB-A80Y-01	PCPG	0.84
TCGA-WB-A815-01	PCPG	0.74
TCGA-WB-A817-01	PCPG	0.19
TCGA-WB-A818-01	PCPG	0.7
TCGA-WB-A819-01	PCPG	0.54
TCGA-WB-A81A-01	PCPG	0.17
TCGA-WB-A81D-01	PCPG	0.75
TCGA-WB-A81E-01	PCPG	0.77
TCGA-WB-A81F-01	PCPG	0.73
TCGA-WB-A81G-01	PCPG	0.69
TCGA-WB-A81H-01	PCPG	0.46
TCGA-WB-A81I-01	PCPG	0.88
TCGA-WB-A81J-01	PCPG	0.92
TCGA-WB-A81K-01	PCPG	0.54
TCGA-WB-A81M-01	PCPG	0.85
TCGA-WB-A81P-01	PCPG	0.77
TCGA-WB-A81Q-01	PCPG	0.89
TCGA-WB-A81R-01	PCPG	0.86
TCGA-WB-A81S-01	PCPG	0.46
TCGA-WB-A81V-01	PCPG	0.7
TCGA-WB-A81W-01	PCPG	0.73
TCGA-WB-A821-01	PCPG	0.42
TCGA-WB-A822-01	PCPG	0.53
TCGA-2A-A8VL-01	PRAD	0.25
TCGA-2A-A8VO-01	PRAD	0.36
TCGA-2A-A8VV-01	PRAD	0.22
TCGA-2A-A8VX-01	PRAD	0.28
TCGA-2A-A8W1-01	PRAD	0.91
TCGA-2A-A8W3-01	PRAD	0.29
TCGA-2A-AAYF-01	PRAD	0.65
TCGA-2A-AAYO-01	PRAD	0.29
TCGA-CH-5737-01	PRAD	0.58
TCGA-CH-5738-01	PRAD	0.38
TCGA-CH-5739-01	PRAD	0.47
TCGA-CH-5740-01	PRAD	0.2
TCGA-CH-5741-01	PRAD	0.78
TCGA-CH-5746-01	PRAD	0.19
TCGA-CH-5748-01	PRAD	0.18
TCGA-CH-5750-01	PRAD	0.22
TCGA-CH-5751-01	PRAD	0.6
TCGA-CH-5752-01	PRAD	0.23
TCGA-CH-5753-01	PRAD	0.58
TCGA-CH-5754-01	PRAD	0.63
TCGA-CH-5761-01	PRAD	0.5
TCGA-CH-5762-01	PRAD	0.3
TCGA-CH-5764-01	PRAD	0.32
TCGA-CH-5765-01	PRAD	0.7
TCGA-CH-5766-01	PRAD	0.34
TCGA-CH-5767-01	PRAD	0.66
TCGA-CH-5768-01	PRAD	0.28
TCGA-CH-5769-01	PRAD	0.28
TCGA-CH-5788-01	PRAD	0.8
TCGA-CH-5789-01	PRAD	0.2
TCGA-CH-5790-01	PRAD	0.79
TCGA-CH-5791-01	PRAD	0.28
TCGA-EJ-5494-01	PRAD	0.21
TCGA-EJ-5495-01	PRAD	0.25
TCGA-EJ-5497-01	PRAD	0.22
TCGA-EJ-5498-01	PRAD	0.16
TCGA-EJ-5499-01	PRAD	0.28
TCGA-EJ-5501-01	PRAD	0.21
TCGA-EJ-5502-01	PRAD	0.17
TCGA-EJ-5503-01	PRAD	0.33
TCGA-EJ-5504-01	PRAD	0.19
TCGA-EJ-5505-01	PRAD	0.2
TCGA-EJ-5507-01	PRAD	0.43
TCGA-EJ-5508-01	PRAD	0.27
TCGA-EJ-5509-01	PRAD	0.32
TCGA-EJ-5510-01	PRAD	0.22
TCGA-EJ-5511-01	PRAD	0.5
TCGA-EJ-5512-01	PRAD	0.2
TCGA-EJ-5514-01	PRAD	0.6
TCGA-EJ-5516-01	PRAD	0.24
TCGA-EJ-5517-01	PRAD	0.56
TCGA-EJ-5521-01	PRAD	0.45
TCGA-EJ-5522-01	PRAD	0.3
TCGA-EJ-5524-01	PRAD	0.23
TCGA-EJ-5525-01	PRAD	0.82
TCGA-EJ-5526-01	PRAD	0.5
TCGA-EJ-5527-01	PRAD	0.23
TCGA-EJ-5530-01	PRAD	0.34
TCGA-EJ-5531-01	PRAD	0.23
TCGA-EJ-5542-01	PRAD	0.23
TCGA-EJ-7115-01	PRAD	0.32
TCGA-EJ-7123-01	PRAD	0.41
TCGA-EJ-7125-01	PRAD	0.17
TCGA-EJ-7314-01	PRAD	0.41
TCGA-EJ-7315-01	PRAD	0.47
TCGA-EJ-7317-01	PRAD	0.24
TCGA-EJ-7318-01	PRAD	0.27
TCGA-EJ-7327-01	PRAD	0.22
TCGA-EJ-7330-01	PRAD	0.32
TCGA-EJ-7331-01	PRAD	0.22
TCGA-EJ-7781-01	PRAD	0.61
TCGA-EJ-7782-01	PRAD	0.66
TCGA-EJ-7783-01	PRAD	0.28
TCGA-EJ-7784-01	PRAD	0.75
TCGA-EJ-7785-01	PRAD	0.25
TCGA-EJ-7788-01	PRAD	0.45
TCGA-EJ-7792-01	PRAD	0.18
TCGA-EJ-7793-01	PRAD	0.18
TCGA-EJ-7794-01	PRAD	0.53
TCGA-EJ-7797-01	PRAD	0.27
TCGA-EJ-8468-01	PRAD	0.33
TCGA-EJ-8469-01	PRAD	0.36
TCGA-EJ-8470-01	PRAD	0.28
TCGA-EJ-8472-01	PRAD	0.62
TCGA-EJ-8474-01	PRAD	0.21
TCGA-EJ-A46B-01	PRAD	0.18
TCGA-EJ-A46F-01	PRAD	0.9
TCGA-EJ-A46G-01	PRAD	0.78
TCGA-EJ-A65D-01	PRAD	0.31
TCGA-EJ-A65E-01	PRAD	0.23
TCGA-EJ-A65F-01	PRAD	0.36
TCGA-EJ-A65G-01	PRAD	0.24
TCGA-EJ-A65J-01	PRAD	0.23
TCGA-EJ-A65M-01	PRAD	0.45
TCGA-EJ-A6RC-01	PRAD	0.22
TCGA-EJ-A7NF-01	PRAD	0.36
TCGA-EJ-A7NG-01	PRAD	0.17
TCGA-EJ-A7NH-01	PRAD	0.34
TCGA-EJ-A7NK-01	PRAD	0.17
TCGA-EJ-A8FN-01	PRAD	0.23
TCGA-EJ-A8FO-01	PRAD	0.19
TCGA-EJ-A8FS-01	PRAD	0.79
TCGA-EJ-AB20-01	PRAD	0.24
TCGA-EJ-AB27-01	PRAD	0.23
TCGA-FC-7961-01	PRAD	0.81
TCGA-FC-A66V-01	PRAD	0.28
TCGA-FC-A6HD-01	PRAD	0.24
TCGA-FC-A8O0-01	PRAD	0.19
TCGA-G9-6329-01	PRAD	0.26
TCGA-G9-6332-01	PRAD	0.62
TCGA-G9-6333-01	PRAD	0.28
TCGA-G9-6338-01	PRAD	0.72
TCGA-G9-6339-01	PRAD	0.23
TCGA-G9-6342-01	PRAD	0.3
TCGA-G9-6343-01	PRAD	0.23
TCGA-G9-6348-01	PRAD	0.2
TCGA-G9-6351-01	PRAD	0.26
TCGA-G9-6354-01	PRAD	0.26
TCGA-G9-6356-01	PRAD	0.2
TCGA-G9-6362-01	PRAD	0.25
TCGA-G9-6364-01	PRAD	0.23
TCGA-G9-6365-01	PRAD	0.24
TCGA-G9-6367-01	PRAD	0.2
TCGA-G9-6369-01	PRAD	0.24
TCGA-G9-6371-01	PRAD	0.2
TCGA-G9-6373-01	PRAD	0.52
TCGA-G9-6377-01	PRAD	0.28
TCGA-G9-6378-01	PRAD	0.24
TCGA-G9-6384-01	PRAD	0.28
TCGA-G9-6385-01	PRAD	0.22
TCGA-G9-6494-01	PRAD	0.47
TCGA-G9-6498-01	PRAD	0.25
TCGA-G9-6499-01	PRAD	0.58
TCGA-G9-7509-01	PRAD	0.24
TCGA-G9-7510-01	PRAD	0.26
TCGA-G9-7521-01	PRAD	0.38
TCGA-G9-7522-01	PRAD	0.32
TCGA-G9-7525-01	PRAD	0.31
TCGA-G9-A9S0-01	PRAD	0.52
TCGA-G9-A9S7-01	PRAD	0.33
TCGA-H9-7775-01	PRAD	0.77
TCGA-H9-A6BY-01	PRAD	0.22
TCGA-HC-7075-01	PRAD	0.23
TCGA-HC-7078-01	PRAD	0.7
TCGA-HC-7080-01	PRAD	0.7
TCGA-HC-7081-01	PRAD	0.22
TCGA-HC-7210-01	PRAD	0.21
TCGA-HC-7211-01	PRAD	0.2
TCGA-HC-7213-01	PRAD	0.63
TCGA-HC-7231-01	PRAD	0.33
TCGA-HC-7233-01	PRAD	0.56
TCGA-HC-7737-01	PRAD	0.28
TCGA-HC-7738-01	PRAD	0.49
TCGA-HC-7740-01	PRAD	0.38
TCGA-HC-7742-01	PRAD	0.55
TCGA-HC-7744-01	PRAD	0.22
TCGA-HC-7745-01	PRAD	0.44
TCGA-HC-7747-01	PRAD	0.42
TCGA-HC-7749-01	PRAD	0.57
TCGA-HC-7750-01	PRAD	0.34
TCGA-HC-7817-01	PRAD	0.22
TCGA-HC-7819-01	PRAD	0.58
TCGA-HC-7820-01	PRAD	0.26
TCGA-HC-8213-01	PRAD	0.39
TCGA-HC-8216-01	PRAD	0.56
TCGA-HC-8257-01	PRAD	0.21
TCGA-HC-8260-01	PRAD	0.32
TCGA-HC-8261-01	PRAD	0.17
TCGA-HC-8261-01	PRAD	0.46
TCGA-HC-8264-01	PRAD	0.27
TCGA-HC-8265-01	PRAD	0.29
TCGA-HC-8265-01	PRAD	0.23
TCGA-HC-8266-01	PRAD	0.25
TCGA-HC-A4ZV-01	PRAD	0.7
TCGA-HC-A631-01	PRAD	0.88
TCGA-HC-A6AL-01	PRAD	0.2
TCGA-HC-A6AN-01	PRAD	0.48
TCGA-HC-A6AO-01	PRAD	0.23
TCGA-HC-A6AQ-01	PRAD	0.28
TCGA-HC-A6HX-01	PRAD	0.17
TCGA-HC-A76W-01	PRAD	0.58
TCGA-HC-A8D0-01	PRAD	0.28
TCGA-HC-A8D1-01	PRAD	0.34
TCGA-HI-7168-01	PRAD	0.95
TCGA-HI-7169-01	PRAD	0.62
TCGA-HI-7170-01	PRAD	0.36
TCGA-HI-7171-01	PRAD	0.79
TCGA-J4-8198-01	PRAD	0.31
TCGA-J4-8200-01	PRAD	0.33
TCGA-J4-A67K-01	PRAD	0.35
TCGA-J4-A67L-01	PRAD	0.33
TCGA-J4-A67M-01	PRAD	0.24
TCGA-J4-A67N-01	PRAD	0.53
TCGA-J4-A67S-01	PRAD	0.28
TCGA-J4-A67T-01	PRAD	0.21
TCGA-J4-A6G1-01	PRAD	0.2
TCGA-J4-A6M7-01	PRAD	0.84
TCGA-J4-A83I-01	PRAD	0.76
TCGA-J4-A83J-01	PRAD	0.39
TCGA-J4-A83L-01	PRAD	0.17
TCGA-J4-A83M-01	PRAD	0.23
TCGA-J4-AATV-01	PRAD	0.3
TCGA-J4-AATZ-01	PRAD	0.3
TCGA-J9-A8CK-01	PRAD	0.37
TCGA-J9-A8CL-01	PRAD	0.73
TCGA-J9-A8CM-01	PRAD	0.55
TCGA-J9-A8CN-01	PRAD	0.41
TCGA-J9-A8CP-01	PRAD	0.24
TCGA-KC-A4BL-01	PRAD	0.23
TCGA-KC-A4BN-01	PRAD	0.42
TCGA-KC-A7F6-01	PRAD	0.5
TCGA-KC-A7FA-01	PRAD	0.74
TCGA-KK-A59V-01	PRAD	0.55
TCGA-KK-A59Y-01	PRAD	0.75
TCGA-KK-A6E0-01	PRAD	0.19
TCGA-KK-A6E1-01	PRAD	0.49
TCGA-KK-A6E3-01	PRAD	0.17
TCGA-KK-A6E4-01	PRAD	0.66
TCGA-KK-A6E5-01	PRAD	0.37
TCGA-KK-A6E6-01	PRAD	0.33
TCGA-KK-A7AW-01	PRAD	0.38
TCGA-KK-A7AY-01	PRAD	0.76
TCGA-KK-A7B0-01	PRAD	0.29
TCGA-KK-A7B1-01	PRAD	0.2
TCGA-KK-A7B3-01	PRAD	0.48
TCGA-KK-A8I5-01	PRAD	0.43
TCGA-KK-A8I8-01	PRAD	0.52
TCGA-KK-A8I9-01	PRAD	0.3
TCGA-KK-A8IA-01	PRAD	0.83
TCGA-KK-A8IB-01	PRAD	0.35
TCGA-KK-A8IC-01	PRAD	0.34
TCGA-KK-A8ID-01	PRAD	0.39
TCGA-KK-A8IF-01	PRAD	0.92
TCGA-KK-A8IG-01	PRAD	0.53
TCGA-KK-A8IH-01	PRAD	0.62
TCGA-KK-A8II-01	PRAD	0.91
TCGA-KK-A8IJ-01	PRAD	0.39
TCGA-KK-A8IK-01	PRAD	0.94
TCGA-KK-A8IM-01	PRAD	0.42
TCGA-M7-A71Z-01	PRAD	0.4
TCGA-M7-A721-01	PRAD	0.29
TCGA-M7-A722-01	PRAD	0.84
TCGA-M7-A725-01	PRAD	0.7
TCGA-MG-AAMC-01	PRAD	0.62
TCGA-QU-A6IL-01	PRAD	0.84
TCGA-QU-A6IM-01	PRAD	0.21
TCGA-QU-A6IN-01	PRAD	0.84
TCGA-QU-A6IO-01	PRAD	0.26
TCGA-QU-A6IP-01	PRAD	0.25
TCGA-SU-A7E7-01	PRAD	0.26
TCGA-TK-A8OK-01	PRAD	0.52
TCGA-TP-A8TT-01	PRAD	0.22
TCGA-TP-A8TV-01	PRAD	0.42
TCGA-V1-A8MF-01	PRAD	0.57
TCGA-V1-A8MJ-01	PRAD	0.23
TCGA-V1-A8MM-01	PRAD	0.78
TCGA-V1-A8MU-01	PRAD	0.46
TCGA-V1-A8WL-01	PRAD	0.45
TCGA-V1-A8WN-01	PRAD	0.19
TCGA-V1-A8WS-01	PRAD	0.35
TCGA-V1-A8WW-01	PRAD	0.76
TCGA-V1-A8X3-01	PRAD	0.21
TCGA-V1-A9O5-01	PRAD	0.51
TCGA-V1-A9O5-06	PRAD	1
TCGA-V1-A9O7-01	PRAD	0.45
TCGA-V1-A9O9-01	PRAD	0.35
TCGA-V1-A9OA-01	PRAD	0.6
TCGA-V1-A9OF-01	PRAD	0.24
TCGA-V1-A9OH-01	PRAD	0.47
TCGA-V1-A9OL-01	PRAD	0.66
TCGA-V1-A9OQ-01	PRAD	0.26
TCGA-V1-A9OX-01	PRAD	0.4
TCGA-V1-A9OY-01	PRAD	0.21
TCGA-V1-A9Z8-01	PRAD	0.28
TCGA-V1-A9Z9-01	PRAD	0.63
TCGA-V1-A9ZG-01	PRAD	0.24
TCGA-V1-A9ZI-01	PRAD	0.78
TCGA-V1-A9ZK-01	PRAD	0.27
TCGA-V1-A9ZR-01	PRAD	0.35
TCGA-VN-A88I-01	PRAD	0.18
TCGA-VN-A88K-01	PRAD	0.79
TCGA-VN-A88M-01	PRAD	0.35
TCGA-VN-A88N-01	PRAD	0.62
TCGA-VN-A88O-01	PRAD	0.28
TCGA-VN-A88P-01	PRAD	0.25
TCGA-VN-A88Q-01	PRAD	0.61
TCGA-VN-A88R-01	PRAD	0.76
TCGA-VN-A943-01	PRAD	0.42
TCGA-VP-A875-01	PRAD	0.98
TCGA-VP-A876-01	PRAD	0.33
TCGA-VP-A878-01	PRAD	0.26
TCGA-VP-A879-01	PRAD	0.3
TCGA-VP-A87C-01	PRAD	0.24
TCGA-VP-A87D-01	PRAD	0.32
TCGA-VP-A87E-01	PRAD	0.3
TCGA-VP-A87J-01	PRAD	0.69
TCGA-VP-A87K-01	PRAD	0.77
TCGA-VP-AA1N-01	PRAD	0.51
TCGA-X4-A8KQ-01	PRAD	0.57
TCGA-X4-A8KS-01	PRAD	0.25
TCGA-XA-A8JR-01	PRAD	0.29
TCGA-XJ-A83F-01	PRAD	0.78
TCGA-XJ-A9DI-01	PRAD	0.39
TCGA-XJ-A9DK-01	PRAD	0.2
TCGA-XJ-A9DQ-01	PRAD	0.21
TCGA-XJ-A9DX-01	PRAD	0.34
TCGA-XK-AAIR-01	PRAD	0.28
TCGA-XK-AAIV-01	PRAD	0.68
TCGA-XK-AAIW-01	PRAD	0.3
TCGA-XK-AAJP-01	PRAD	0.64
TCGA-XK-AAJR-01	PRAD	0.43
TCGA-XK-AAJT-01	PRAD	0.65
TCGA-XK-AAJU-01	PRAD	0.21
TCGA-XQ-A8TA-01	PRAD	0.9
TCGA-Y6-A8TL-01	PRAD	0.24
TCGA-Y6-A9XI-01	PRAD	0.63
TCGA-YJ-A8SW-01	PRAD	0.27
TCGA-YL-A8HJ-01	PRAD	0.27
TCGA-YL-A8HK-01	PRAD	0.22
TCGA-YL-A8HL-01	PRAD	0.82
TCGA-YL-A8HM-01	PRAD	1
TCGA-YL-A8HO-01	PRAD	0.8
TCGA-YL-A8S8-01	PRAD	0.58
TCGA-YL-A8S9-01	PRAD	0.91
TCGA-YL-A8SA-01	PRAD	0.74
TCGA-YL-A8SB-01	PRAD	0.34
TCGA-YL-A8SC-01	PRAD	0.46
TCGA-YL-A8SF-01	PRAD	0.68
TCGA-YL-A8SH-01	PRAD	0.65
TCGA-YL-A8SI-01	PRAD	0.19
TCGA-YL-A8SJ-01	PRAD	0.62
TCGA-YL-A8SK-01	PRAD	0.45
TCGA-YL-A8SO-01	PRAD	0.59
TCGA-YL-A8SP-01	PRAD	0.87
TCGA-YL-A8SQ-01	PRAD	0.95
TCGA-YL-A9WI-01	PRAD	0.8
TCGA-YL-A9WJ-01	PRAD	0.27
TCGA-YL-A9WL-01	PRAD	0.87
TCGA-YL-A9WX-01	PRAD	0.19
TCGA-YL-A9WY-01	PRAD	0.4
TCGA-ZG-A8QY-01	PRAD	0.54
TCGA-ZG-A9KY-01	PRAD	0.18
TCGA-ZG-A9L0-01	PRAD	0.87
TCGA-ZG-A9L1-01	PRAD	0.71
TCGA-ZG-A9L4-01	PRAD	0.3
TCGA-ZG-A9L5-01	PRAD	0.82
TCGA-ZG-A9L6-01	PRAD	0.27
TCGA-ZG-A9LB-01	PRAD	0.96
TCGA-ZG-A9LM-01	PRAD	0.58
TCGA-ZG-A9LS-01	PRAD	0.77
TCGA-ZG-A9LY-01	PRAD	0.4
TCGA-ZG-A9LZ-01	PRAD	0.76
TCGA-ZG-A9M4-01	PRAD	0.66
TCGA-ZG-A9NI-01	PRAD	0.56
TCGA-AF-2687-01	READ	1
TCGA-AF-2690-01	READ	0.65
TCGA-AF-2693-01	READ	0.62
TCGA-AF-3911-01	READ	0.73
TCGA-AG-3591-01	READ	0.75
TCGA-AG-3592-01	READ	0.47
TCGA-AG-3726-01	READ	0.74
TCGA-AG-3727-01	READ	0.8
TCGA-AG-3731-01	READ	0.3
TCGA-AG-3732-01	READ	0.52
TCGA-AG-3878-01	READ	0.35
TCGA-AG-3881-01	READ	0.58
TCGA-AG-3882-01	READ	0.95
TCGA-AG-3883-01	READ	0.7
TCGA-AG-3885-01	READ	0.64
TCGA-AG-4021-01	READ	0.51
TCGA-AG-A01W-01	READ	0.59
TCGA-AG-A026-01	READ	0.4
TCGA-AG-A02N-01	READ	0.35
TCGA-AH-6544-01	READ	0.43
TCGA-AH-6547-01	READ	0.22
TCGA-AH-6643-01	READ	0.7
TCGA-AH-6644-01	READ	0.61
TCGA-CI-6619-01	READ	0.28
TCGA-CI-6620-01	READ	0.46
TCGA-CI-6621-01	READ	0.46
TCGA-CI-6622-01	READ	0.37
TCGA-CI-6624-01	READ	0.34
TCGA-CL-5917-01	READ	0.2
TCGA-CL-5918-01	READ	0.62
TCGA-DC-4745-01	READ	0.71
TCGA-DC-4749-01	READ	0.63
TCGA-DC-5337-01	READ	0.21
TCGA-DC-5869-01	READ	0.77
TCGA-DC-6154-01	READ	0.74
TCGA-DC-6155-01	READ	0.64
TCGA-DC-6157-01	READ	0.56
TCGA-DC-6158-01	READ	0.56
TCGA-DC-6160-01	READ	0.34
TCGA-DC-6681-01	READ	0.42
TCGA-DC-6682-01	READ	0.89
TCGA-DC-6683-01	READ	0.47
TCGA-DY-A1DC-01	READ	0.68
TCGA-DY-A1DF-01	READ	0.9
TCGA-DY-A1DG-01	READ	0.9
TCGA-DY-A1H8-01	READ	0.89
TCGA-EF-5830-01	READ	0.75
TCGA-EI-6506-01	READ	0.27
TCGA-EI-6508-01	READ	0.62
TCGA-EI-6509-01	READ	0.82
TCGA-EI-6510-01	READ	0.68
TCGA-EI-6511-01	READ	0.63
TCGA-EI-6512-01	READ	0.47
TCGA-EI-6513-01	READ	0.83
TCGA-EI-6514-01	READ	0.62
TCGA-EI-6881-01	READ	0.66
TCGA-EI-6882-01	READ	0.89
TCGA-EI-6885-01	READ	0.59
TCGA-EI-6917-01	READ	0.16
TCGA-EI-7002-01	READ	0.78
TCGA-EI-7004-01	READ	0.51
TCGA-F5-6464-01	READ	0.43
TCGA-F5-6465-01	READ	0.5
TCGA-F5-6571-01	READ	0.76
TCGA-F5-6702-01	READ	0.26
TCGA-F5-6812-01	READ	0.61
TCGA-F5-6813-01	READ	0.64
TCGA-F5-6814-01	READ	0.43
TCGA-F5-6861-01	READ	0.52
TCGA-F5-6864-01	READ	0.39
TCGA-3N-A9WB-06	SKCM	0.82
TCGA-3N-A9WC-06	SKCM	0.37
TCGA-3N-A9WD-06	SKCM	0.42
TCGA-BF-A1PU-01	SKCM	0.77
TCGA-BF-A1PV-01	SKCM	0.61
TCGA-BF-A1PX-01	SKCM	0.29
TCGA-BF-A1PZ-01	SKCM	0.68
TCGA-BF-A3DJ-01	SKCM	0.78
TCGA-BF-A3DL-01	SKCM	0.43
TCGA-BF-A3DM-01	SKCM	0.83
TCGA-BF-A3DN-01	SKCM	0.56
TCGA-BF-A5EO-01	SKCM	0.57
TCGA-BF-A5EQ-01	SKCM	0.59
TCGA-BF-A5ER-01	SKCM	0.64
TCGA-BF-A5ES-01	SKCM	0.67
TCGA-BF-A9VF-01	SKCM	0.81
TCGA-BF-AAOU-01	SKCM	0.39
TCGA-BF-AAOX-01	SKCM	0.63
TCGA-BF-AAP1-01	SKCM	0.73
TCGA-BF-AAP4-01	SKCM	0.94
TCGA-BF-AAP8-01	SKCM	0.8
TCGA-D3-A1Q3-06	SKCM	0.49
TCGA-D3-A1Q4-06	SKCM	0.46
TCGA-D3-A1Q5-06	SKCM	0.84
TCGA-D3-A1Q6-06	SKCM	1
TCGA-D3-A1Q7-06	SKCM	0.39
TCGA-D3-A1Q8-06	SKCM	0.49
TCGA-D3-A1QA-06	SKCM	0.7
TCGA-D3-A1QB-06	SKCM	0.46
TCGA-D3-A2J6-06	SKCM	0.52
TCGA-D3-A2J7-06	SKCM	0.39
TCGA-D3-A2J8-06	SKCM	0.47
TCGA-D3-A2J9-06	SKCM	0.63
TCGA-D3-A2JA-06	SKCM	0.43
TCGA-D3-A2JB-06	SKCM	0.41
TCGA-D3-A2JC-06	SKCM	0.38
TCGA-D3-A2JD-06	SKCM	0.49
TCGA-D3-A2JE-06	SKCM	0.43
TCGA-D3-A2JF-06	SKCM	0.52
TCGA-D3-A2JK-06	SKCM	0.48
TCGA-D3-A2JL-06	SKCM	0.5
TCGA-D3-A2JN-06	SKCM	0.43
TCGA-D3-A2JO-06	SKCM	0.86
TCGA-D3-A2JP-06	SKCM	0.87
TCGA-D3-A3BZ-06	SKCM	0.46
TCGA-D3-A3C1-06	SKCM	0.49
TCGA-D3-A3C3-06	SKCM	0.8
TCGA-D3-A3C6-06	SKCM	0.73
TCGA-D3-A3C7-06	SKCM	0.74
TCGA-D3-A3C8-06	SKCM	0.33
TCGA-D3-A3CB-06	SKCM	0.47
TCGA-D3-A3CC-06	SKCM	0.54
TCGA-D3-A3CE-06	SKCM	0.56
TCGA-D3-A3CF-06	SKCM	0.66
TCGA-D3-A3MR-06	SKCM	0.23
TCGA-D3-A3MU-06	SKCM	0.76
TCGA-D3-A3MV-06	SKCM	0.63
TCGA-D3-A51G-06	SKCM	0.77
TCGA-D3-A51J-06	SKCM	0.52
TCGA-D3-A51K-06	SKCM	0.82
TCGA-D3-A51N-06	SKCM	0.69
TCGA-D3-A51R-06	SKCM	0.9
TCGA-D3-A51T-06	SKCM	0.67
TCGA-D3-A5GN-06	SKCM	1
TCGA-D3-A5GO-06	SKCM	1
TCGA-D3-A5GS-06	SKCM	0.61
TCGA-D3-A5GU-06	SKCM	0.7
TCGA-D3-A8GB-06	SKCM	0.31
TCGA-D3-A8GC-06	SKCM	0.5
TCGA-D3-A8GD-06	SKCM	0.23
TCGA-D3-A8GE-06	SKCM	0.3
TCGA-D3-A8GK-06	SKCM	0.95
TCGA-D3-A8GM-06	SKCM	0.77
TCGA-D3-A8GN-06	SKCM	0.23
TCGA-D3-A8GQ-06	SKCM	0.33
TCGA-D3-A8GR-06	SKCM	0.8
TCGA-D3-A8GS-06	SKCM	0.37
TCGA-D3-A8GV-06	SKCM	0.93
TCGA-D9-A149-06	SKCM	0.54
TCGA-D9-A1JX-06	SKCM	0.67
TCGA-D9-A3Z1-06	SKCM	0.31
TCGA-D9-A3Z3-06	SKCM	0.56
TCGA-D9-A3Z4-01	SKCM	0.81
TCGA-D9-A4Z2-01	SKCM	0.62
TCGA-D9-A4Z3-01	SKCM	0.74
TCGA-D9-A4Z5-01	SKCM	0.86
TCGA-D9-A6E9-06	SKCM	0.77
TCGA-D9-A6EA-06	SKCM	0.37
TCGA-D9-A6EC-06	SKCM	0.67
TCGA-D9-A6EG-06	SKCM	0.9
TCGA-DA-A1HV-06	SKCM	0.64
TCGA-DA-A1HW-06	SKCM	0.45
TCGA-DA-A1HY-06	SKCM	0.74
TCGA-DA-A1I0-06	SKCM	0.23
TCGA-DA-A1I1-06	SKCM	0.53
TCGA-DA-A1I4-06	SKCM	0.4
TCGA-DA-A1I7-06	SKCM	0.53
